country,countryLabel,ageGroup,count
http://www.wikidata.org/entity/Q889,Afghanistan,15-24 youth,19
http://www.wikidata.org/entity/Q889,Afghanistan,25-59 adult,682
http://www.wikidata.org/entity/Q889,Afghanistan,60+ senior,365
http://www.wikidata.org/entity/Q222,Albania,15-24 youth,49
http://www.wikidata.org/entity/Q222,Albania,25-59 adult,1729
http://www.wikidata.org/entity/Q222,Albania,60+ senior,655
http://www.wikidata.org/entity/Q262,Algeria,15-24 youth,33
http://www.wikidata.org/entity/Q262,Algeria,25-59 adult,2170
http://www.wikidata.org/entity/Q262,Algeria,60+ senior,2108
http://www.wikidata.org/entity/Q228,Andorra,15-24 youth,7
http://www.wikidata.org/entity/Q228,Andorra,25-59 adult,210
http://www.wikidata.org/entity/Q228,Andorra,60+ senior,56
http://www.wikidata.org/entity/Q916,Angola,0-14 child,1
http://www.wikidata.org/entity/Q916,Angola,15-24 youth,23
http://www.wikidata.org/entity/Q916,Angola,25-59 adult,682
http://www.wikidata.org/entity/Q916,Angola,60+ senior,318
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,15-24 youth,3
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,25-59 adult,131
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,60+ senior,61
http://www.wikidata.org/entity/Q414,Argentina,0-14 child,2
http://www.wikidata.org/entity/Q414,Argentina,15-24 youth,506
http://www.wikidata.org/entity/Q414,Argentina,25-59 adult,12964
http://www.wikidata.org/entity/Q414,Argentina,60+ senior,6802
http://www.wikidata.org/entity/Q399,Armenia,0-14 child,3
http://www.wikidata.org/entity/Q399,Armenia,15-24 youth,38
http://www.wikidata.org/entity/Q399,Armenia,25-59 adult,2268
http://www.wikidata.org/entity/Q399,Armenia,60+ senior,2775
http://www.wikidata.org/entity/Q408,Australia,0-14 child,7
http://www.wikidata.org/entity/Q408,Australia,15-24 youth,446
http://www.wikidata.org/entity/Q408,Australia,25-59 adult,13885
http://www.wikidata.org/entity/Q408,Australia,60+ senior,7610
http://www.wikidata.org/entity/Q40,Austria,0-14 child,1
http://www.wikidata.org/entity/Q40,Austria,15-24 youth,504
http://www.wikidata.org/entity/Q40,Austria,25-59 adult,10692
http://www.wikidata.org/entity/Q40,Austria,60+ senior,12484
http://www.wikidata.org/entity/Q227,Azerbaijan,0-14 child,1
http://www.wikidata.org/entity/Q227,Azerbaijan,15-24 youth,86
http://www.wikidata.org/entity/Q227,Azerbaijan,25-59 adult,2765
http://www.wikidata.org/entity/Q227,Azerbaijan,60+ senior,3457
http://www.wikidata.org/entity/Q398,Bahrain,15-24 youth,7
http://www.wikidata.org/entity/Q398,Bahrain,25-59 adult,224
http://www.wikidata.org/entity/Q398,Bahrain,60+ senior,96
http://www.wikidata.org/entity/Q902,Bangladesh,15-24 youth,53
http://www.wikidata.org/entity/Q902,Bangladesh,25-59 adult,1027
http://www.wikidata.org/entity/Q902,Bangladesh,60+ senior,850
http://www.wikidata.org/entity/Q244,Barbados,15-24 youth,9
http://www.wikidata.org/entity/Q244,Barbados,25-59 adult,255
http://www.wikidata.org/entity/Q244,Barbados,60+ senior,174
http://www.wikidata.org/entity/Q184,Belarus,15-24 youth,402
http://www.wikidata.org/entity/Q184,Belarus,25-59 adult,5016
http://www.wikidata.org/entity/Q184,Belarus,60+ senior,4674
http://www.wikidata.org/entity/Q31,Belgium,0-14 child,5
http://www.wikidata.org/entity/Q31,Belgium,15-24 youth,371
http://www.wikidata.org/entity/Q31,Belgium,25-59 adult,7771
http://www.wikidata.org/entity/Q31,Belgium,60+ senior,7106
http://www.wikidata.org/entity/Q242,Belize,15-24 youth,2
http://www.wikidata.org/entity/Q242,Belize,25-59 adult,145
http://www.wikidata.org/entity/Q242,Belize,60+ senior,61
http://www.wikidata.org/entity/Q962,Benin,15-24 youth,20
http://www.wikidata.org/entity/Q962,Benin,25-59 adult,270
http://www.wikidata.org/entity/Q962,Benin,60+ senior,152
http://www.wikidata.org/entity/Q917,Bhutan,0-14 child,3
http://www.wikidata.org/entity/Q917,Bhutan,15-24 youth,2
