country,countryLabel,country_qid
http://www.wikidata.org/entity/Q16,Canada,Q16
http://www.wikidata.org/entity/Q17,Japan,Q17
http://www.wikidata.org/entity/Q20,Norway,Q20
http://www.wikidata.org/entity/Q27,Ireland,Q27
http://www.wikidata.org/entity/Q28,Hungary,Q28
http://www.wikidata.org/entity/Q29,Spain,Q29
http://www.wikidata.org/entity/Q30,United States,Q30
http://www.wikidata.org/entity/Q31,Belgium,Q31
http://www.wikidata.org/entity/Q32,Luxembourg,Q32
http://www.wikidata.org/entity/Q33,Finland,Q33
http://www.wikidata.org/entity/Q34,Sweden,Q34
http://www.wikidata.org/entity/Q35,Denmark,Q35
http://www.wikidata.org/entity/Q36,Poland,Q36
http://www.wikidata.org/entity/Q37,Lithuania,Q37
http://www.wikidata.org/entity/Q38,Italy,Q38
http://www.wikidata.org/entity/Q39,Switzerland,Q39
http://www.wikidata.org/entity/Q40,Austria,Q40
http://www.wikidata.org/entity/Q41,Greece,Q41
http://www.wikidata.org/entity/Q43,Turkey,Q43
http://www.wikidata.org/entity/Q45,Portugal,Q45
http://www.wikidata.org/entity/Q55,Netherlands,Q55
http://www.wikidata.org/entity/Q77,Uruguay,Q77
http://www.wikidata.org/entity/Q79,Egypt,Q79
http://www.wikidata.org/entity/Q96,Mexico,Q96
http://www.wikidata.org/entity/Q114,Kenya,Q114
http://www.wikidata.org/entity/Q115,Ethiopia,Q115
http://www.wikidata.org/entity/Q117,Ghana,Q117
http://www.wikidata.org/entity/Q142,France,Q142
http://www.wikidata.org/entity/Q145,United Kingdom,Q145
http://www.wikidata.org/entity/Q148,People's Republic of China,Q148
http://www.wikidata.org/entity/Q155,Brazil,Q155
http://www.wikidata.org/entity/Q159,Russia,Q159
http://www.wikidata.org/entity/Q183,Germany,Q183
http://www.wikidata.org/entity/Q184,Belarus,Q184
http://www.wikidata.org/entity/Q189,Iceland,Q189
http://www.wikidata.org/entity/Q191,Estonia,Q191
http://www.wikidata.org/entity/Q211,Latvia,Q211
