country,countryLabel,ethnicGroup,ethnicGroupLabel,genderCategory,count
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q2556103,Pashtuns,Male,7
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q2556103,Pashtuns,Female,7
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q483505,Tajiks,Male,6
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q115473,Hazaras,Male,5
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q483505,Tajiks,Unknown / not stated,5
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q2556103,Pashtuns,Unknown / not stated,5
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q4689053,Afghan Americans,Male,2
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q115473,Hazaras,Female,2
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q201501,Baloch,Unknown / not stated,2
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q4783159,Arab Canadians,Female,1
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q16007968,Afghans,Male,1
http://www.wikidata.org/entity/Q889,Afghanistan,http://www.wikidata.org/entity/Q4689224,Afghans in the Netherlands,Male,1
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q179248,Albanians,Male,8
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q539051,Greeks,Male,3
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q179248,Albanians,Female,3
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q1849258,Albanian Americans,Female,1
http://www.wikidata.org/entity/Q222,Albania,http://www.wikidata.org/entity/Q1242155,Albanians in Kosovo,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q45315,Berbers,Male,5
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q648255,Kabyle people,Male,3
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q1075929,African people,Female,2
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q1365830,Romani people in Spain,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q12480578,Algerians,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q16201253,Algerian Canadians,Female,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q115842165,Afro-Catalan,Female,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q79797,Armenians,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q25448,Berber,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q648255,Kabyle people,Female,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q35853,Kabyle,Male,1
http://www.wikidata.org/entity/Q262,Algeria,http://www.wikidata.org/entity/Q121842,French,Male,1
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q817393,Black people,Female,2
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q1257799,Ovimbundu people,Male,1
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q388315,African Brazilians,Female,1
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q178630,Portuguese,Male,1
http://www.wikidata.org/entity/Q916,Angola,http://www.wikidata.org/entity/Q817393,Black people,Male,1
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,http://www.wikidata.org/entity/Q49085,African Americans,Female,1
http://www.wikidata.org/entity/Q781,Antigua and Barbuda,http://www.wikidata.org/entity/Q49085,African Americans,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3088284,Afro-Argentines,Female,8
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q752526,Galicians,Male,8
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1056744,Italian Argentines,Male,7
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q14802184,Syrian Argentines,Male,6
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q7325,Jewish people,Male,6
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q2365041,Argentines,Male,4
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q7325,Jewish people,Female,4
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q4117143,Lebanese Argentines,Male,3
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q44806,Ukrainians,Male,3
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1349118,Selk'nam people,Female,3
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q14802184,Syrian Argentines,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1284276,Wichís,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3514225,Croats in Argentina,Male,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1779257,Colla People,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3267254,Afro-Uruguayan,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q178484,Mapuche,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q1056744,Italian Argentines,Female,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q16799549,Latin Americans,Male,2
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3752558,Basque Argentines,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q46429,Guaraní people,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q3777727,Irish Argentine,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q2972784,Armenian Argentine,Female,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q49542,Russians,Male,1
http://www.wikidata.org/entity/Q414,Argentina,http://www.wikidata.org/entity/Q19109,Montenegrins,Male,1
