country,countryLabel,country_qid
http://www.wikidata.org/entity/Q228,Andorra,Q228
http://www.wikidata.org/entity/Q917,Bhutan,Q917
http://www.wikidata.org/entity/Q970,Comoros,Q970
http://www.wikidata.org/entity/Q1050,Eswatini,Q1050
http://www.wikidata.org/entity/Q702,Federated States of Micronesia,Q702
http://www.wikidata.org/entity/Q710,Kiribati,Q710
http://www.wikidata.org/entity/Q709,Marshall Islands,Q709
http://www.wikidata.org/entity/Q1025,Mauritania,Q1025
http://www.wikidata.org/entity/Q697,Nauru,Q697
http://www.wikidata.org/entity/Q695,Palau,Q695
http://www.wikidata.org/entity/Q757,Saint Vincent and the Grenadines,Q757
http://www.wikidata.org/entity/Q238,San Marino,Q238
http://www.wikidata.org/entity/Q685,Solomon Islands,Q685
http://www.wikidata.org/entity/Q1039,São Tomé and Príncipe,Q1039
http://www.wikidata.org/entity/Q672,Tuvalu,Q672
http://www.wikidata.org/entity/Q237,Vatican City,Q237
