country,genderCategory,count,countryLabel
http://www.wikidata.org/entity/Q1000,Female,52,Gabon
http://www.wikidata.org/entity/Q1000,Male,201,Gabon
http://www.wikidata.org/entity/Q1000,Unknown / not stated,1,Gabon
http://www.wikidata.org/entity/Q1005,Female,72,The Gambia
http://www.wikidata.org/entity/Q1005,Male,237,The Gambia
http://www.wikidata.org/entity/Q1006,Female,92,Guinea
http://www.wikidata.org/entity/Q1006,Male,422,Guinea
http://www.wikidata.org/entity/Q1006,Unknown / not stated,54,Guinea
http://www.wikidata.org/entity/Q1007,Female,29,Guinea-Bissau
http://www.wikidata.org/entity/Q1007,Male,238,Guinea-Bissau
http://www.wikidata.org/entity/Q1007,Unknown / not stated,2,Guinea-Bissau
http://www.wikidata.org/entity/Q1008,Female,209,Ivory Coast
http://www.wikidata.org/entity/Q1008,Male,828,Ivory Coast
http://www.wikidata.org/entity/Q1008,Unknown / not stated,89,Ivory Coast
http://www.wikidata.org/entity/Q1009,Female,292,Cameroon
http://www.wikidata.org/entity/Q1009,Male,894,Cameroon
http://www.wikidata.org/entity/Q1009,Unknown / not stated,8,Cameroon
http://www.wikidata.org/entity/Q1011,Female,27,Cape Verde
http://www.wikidata.org/entity/Q1011,Male,136,Cape Verde
http://www.wikidata.org/entity/Q1011,Unknown / not stated,3,Cape Verde
http://www.wikidata.org/entity/Q1013,Female,27,Lesotho
http://www.wikidata.org/entity/Q1013,Male,95,Lesotho
http://www.wikidata.org/entity/Q1014,Female,49,Liberia
http://www.wikidata.org/entity/Q1014,Male,326,Liberia
http://www.wikidata.org/entity/Q1014,Unknown / not stated,2,Liberia
http://www.wikidata.org/entity/Q1016,Female,59,Libya
http://www.wikidata.org/entity/Q1016,Male,379,Libya
http://www.wikidata.org/entity/Q1016,Unknown / not stated,3,Libya
http://www.wikidata.org/entity/Q1019,Female,83,Madagascar
http://www.wikidata.org/entity/Q1019,Male,227,Madagascar
http://www.wikidata.org/entity/Q1019,Unknown / not stated,13,Madagascar
http://www.wikidata.org/entity/Q1020,Female,63,Malawi
http://www.wikidata.org/entity/Q1020,Male,70,Malawi
http://www.wikidata.org/entity/Q1025,Female,27,Mauritania
http://www.wikidata.org/entity/Q1025,Male,92,Mauritania
http://www.wikidata.org/entity/Q1025,Unknown / not stated,12,Mauritania
http://www.wikidata.org/entity/Q1027,Female,68,Mauritius
http://www.wikidata.org/entity/Q1027,Male,184,Mauritius
http://www.wikidata.org/entity/Q1027,Unknown / not stated,3,Mauritius
http://www.wikidata.org/entity/Q1028,Female,576,Morocco
http://www.wikidata.org/entity/Q1028,Male,1945,Morocco
http://www.wikidata.org/entity/Q1028,Unknown / not stated,24,Morocco
http://www.wikidata.org/entity/Q1029,Female,120,Mozambique
