country,countryLabel,language,type,count
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,569
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,14
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9067,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,449
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,12
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,4
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1321,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9129,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9288,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q13955,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q837985,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q188,native,390
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q1860,native,9
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q150,native,5
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q256,native,3
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q5146,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q9027,native,2
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q652,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q809,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7411,native,1
http://www.wikidata.org/entity/Q183,Germany,http://www.wikidata.org/entity/Q7737,native,1
