iso3,name,wikidata_label,qid
ABW,Aruba,Aruba,Q21203
AIA,Anguilla,Anguilla,Q25228
ALA,Åland Islands,Åland,Q5689
ASM,American Samoa,American Samoa,Q16641
ATA,Antarctica,Antarctica,Q51
ATF,French Southern and Antarctic Lands,French Southern and Antarctic Lands,Q129003
BLM,Saint-Barthélemy,Saint Barthélemy,Q25362
BMU,Bermuda,Bermuda,Q23635
COK,Cook Islands,Cook Islands,Q26988
CUW,Curaçao,Curaçao,Q25279
CYM,Cayman Islands,Cayman Islands,Q5785
ESH,Western Sahara,Western Sahara,Q6250
FLK,Falkland Islands / Malvinas,Falkland Islands,Q9648
FRO,Faeroe Islands,Faroe Islands,Q4628
GGY,Guernsey,Guernsey,Q25230
GRL,Greenland,Greenland,Q223
GUM,Guam,Guam,Q16635
HKG,Hong Kong,Hong Kong,Q8646
HMD,Heard I. and McDonald Islands,Heard Island and McDonald Islands,Q131198
IMN,Isle of Man,Isle of Man,Q9676
IOT,British Indian Ocean Territory,British Indian Ocean Territory,Q43448
JEY,Jersey,Q785,Q785
MAC,Macao,Macau,Q14773
MAF,Saint-Martin,Saint-Martin,Q126125
MNP,Northern Mariana Islands,Northern Mariana Islands,Q16644
MSR,Montserrat,Montserrat,Q13353
NCL,New Caledonia,New Caledonia,Q33788
NFK,Norfolk Island,Norfolk Island,Q31057
NIU,Niue,Niue,Q34020
PCN,Pitcairn Islands,Pitcairn Islands,Q35672
PRI,Puerto Rico,Puerto Rico,Q1183
PYF,French Polynesia,French Polynesia,Q30971
SGS,South Georgia and the Islands,South Georgia and the South Sandwich Islands,Q35086
SHN,Saint Helena,"Saint Helena, Ascension and Tristan da Cunha",Q192184
SPM,Saint Pierre and Miquelon,Saint Pierre and Miquelon,Q34617
SXM,Sint Maarten,Sint Maarten,Q26273
TCA,Turks and Caicos Islands,Turks and Caicos Islands,Q18221
TLS,Timor-Leste,Timor-Leste,Q574
VGB,British Virgin Islands,British Virgin Islands,Q25305
VIR,United States Virgin Islands,United States Virgin Islands,Q11703
WLF,Wallis and Futuna Islands,Wallis and Futuna,Q35555
