Country,Age Group,Count
Afghanistan,15-24 youth,19
Afghanistan,25-59 adult,682
Afghanistan,60+ senior,365
Albania,15-24 youth,49
Albania,25-59 adult,1729
Albania,60+ senior,655
Algeria,15-24 youth,33
Algeria,25-59 adult,2170
Algeria,60+ senior,2108
American Samoa,15-24 youth,1
American Samoa,25-59 adult,6
American Samoa,60+ senior,1
Andorra,15-24 youth,7
Andorra,25-59 adult,210
Andorra,60+ senior,56
Angola,0-14 child,1
Angola,15-24 youth,23
Angola,25-59 adult,682
Angola,60+ senior,318
Anguilla,15-24 youth,2
Anguilla,25-59 adult,9
Anguilla,60+ senior,1
Antigua and Barbuda,15-24 youth,3
Antigua and Barbuda,25-59 adult,131
Antigua and Barbuda,60+ senior,61
Argentina,0-14 child,2
Argentina,15-24 youth,506
Argentina,25-59 adult,12964
Argentina,60+ senior,6802
Armenia,0-14 child,3
Armenia,15-24 youth,38
Armenia,25-59 adult,2268
Armenia,60+ senior,2775
Aruba,15-24 youth,2
Aruba,25-59 adult,97
Aruba,60+ senior,63
Australia,0-14 child,7
Australia,15-24 youth,446
Australia,25-59 adult,13885
Australia,60+ senior,7610
Austria,0-14 child,1
Austria,15-24 youth,504
Austria,25-59 adult,10692
Austria,60+ senior,12484
Azerbaijan,0-14 child,1
Azerbaijan,15-24 youth,86
Azerbaijan,25-59 adult,2765
Azerbaijan,60+ senior,3457
Bahrain,15-24 youth,7
Bahrain,25-59 adult,224
Bahrain,60+ senior,96
Bangladesh,15-24 youth,53
Bangladesh,25-59 adult,1027
Bangladesh,60+ senior,850
Barbados,15-24 youth,9
Barbados,25-59 adult,255
Barbados,60+ senior,174
Belarus,15-24 youth,402
Belarus,25-59 adult,5016
Belarus,60+ senior,4674
Belgium,0-14 child,5
Belgium,15-24 youth,371
Belgium,25-59 adult,7771
Belgium,60+ senior,7106
Belize,15-24 youth,2
Belize,25-59 adult,145
Belize,60+ senior,61
Benin,15-24 youth,20
Benin,25-59 adult,270
Benin,60+ senior,152
Bermuda,15-24 youth,4
Bermuda,25-59 adult,77
Bermuda,60+ senior,31
Bhutan,0-14 child,3
Bhutan,15-24 youth,2
Bhutan,25-59 adult,103
Bhutan,60+ senior,30
Bolivia,15-24 youth,46
Bolivia,25-59 adult,946
Bolivia,60+ senior,527
Bosnia and Herzegovina,15-24 youth,63
Bosnia and Herzegovina,25-59 adult,2696
Bosnia and Herzegovina,60+ senior,1584
Botswana,15-24 youth,21
Botswana,25-59 adult,321
Botswana,60+ senior,59
Brazil,0-14 child,67
Brazil,15-24 youth,1046
Brazil,25-59 adult,30584
Brazil,60+ senior,21954
British Indian Ocean Territory,25-59 adult,1
British Indian Ocean Territory,60+ senior,2
British Virgin Islands,25-59 adult,3
Brunei,0-14 child,1
Brunei,15-24 youth,7
Brunei,25-59 adult,139
Brunei,60+ senior,41
Bulgaria,0-14 child,3
Bulgaria,15-24 youth,150
Bulgaria,25-59 adult,5799
Bulgaria,60+ senior,5273
Burkina Faso,15-24 youth,12
Burkina Faso,25-59 adult,406
Burkina Faso,60+ senior,160
Burundi,0-14 child,1
Burundi,15-24 youth,6
Burundi,25-59 adult,223
Burundi,60+ senior,60
Cambodia,0-14 child,2
Cambodia,15-24 youth,15
Cambodia,25-59 adult,237
Cambodia,60+ senior,163
Cameroon,15-24 youth,77
Cameroon,25-59 adult,1847
Cameroon,60+ senior,485
Canada,0-14 child,32
Canada,15-24 youth,677
Canada,25-59 adult,20469
Canada,60+ senior,15879
Cape Verde,15-24 youth,2
Cape Verde,25-59 adult,236
Cape Verde,60+ senior,86
Cayman Islands,15-24 youth,2
Cayman Islands,25-59 adult,42
Cayman Islands,60+ senior,3
Central African Republic,15-24 youth,7
Central African Republic,25-59 adult,134
Central African Republic,60+ senior,59
Chad,15-24 youth,3
Chad,25-59 adult,165
Chad,60+ senior,76
Chile,0-14 child,1
Chile,15-24 youth,124
Chile,25-59 adult,4422
Chile,60+ senior,2837
Colombia,15-24 youth,221
Colombia,25-59 adult,5497
Colombia,60+ senior,2100
Comoros,15-24 youth,18
Comoros,25-59 adult,75
Comoros,60+ senior,29
Cook Islands,15-24 youth,1
Cook Islands,25-59 adult,82
Cook Islands,60+ senior,28
Costa Rica,15-24 youth,42
Costa Rica,25-59 adult,964
Costa Rica,60+ senior,434
Croatia,0-14 child,1
Croatia,15-24 youth,138
Croatia,25-59 adult,4185
Croatia,60+ senior,2246
