Country,Ethnic Group,Gender,Count
Afghanistan,Afghan Americans,Male,2
Afghanistan,Afghans,Male,1
Afghanistan,Afghans in the Netherlands,Male,1
Afghanistan,Arab Canadians,Female,1
Afghanistan,Baloch,Unknown,2
Afghanistan,Hazaras,Female,2
Afghanistan,Hazaras,Male,6
Afghanistan,Hazaras,Unknown,1
Afghanistan,Pashtuns,Female,7
Afghanistan,Pashtuns,Male,7
Afghanistan,Pashtuns,Unknown,5
Afghanistan,Tajiks,Male,6
Afghanistan,Tajiks,Unknown,6
Albania,Albanian Americans,Female,1
Albania,Albanians,Female,3
Albania,Albanians,Male,8
Albania,Albanians in Kosovo,Male,1
Albania,Greeks,Male,3
Algeria,African people,Female,2
Algeria,Afro-Catalan,Female,1
Algeria,Algerian Canadians,Female,1
Algeria,Algerians,Male,1
Algeria,Armenians,Male,1
Algeria,Berber,Male,1
Algeria,Berbers,Male,5
Algeria,French,Male,1
Algeria,Kabyle,Male,1
Algeria,Kabyle people,Female,1
Algeria,Kabyle people,Male,3
Algeria,Romani people in Spain,Male,1
Angola,African Brazilians,Female,1
Angola,Black people,Female,2
Angola,Black people,Male,1
Angola,Ovimbundu people,Male,1
Angola,Portuguese,Female,1
Angola,Portuguese,Male,2
Antigua and Barbuda,African Americans,Female,1
Antigua and Barbuda,African Americans,Male,1
Argentina,Afro-Argentines,Female,8
Argentina,Afro-Argentines,Male,1
Argentina,Afro-Uruguayan,Female,2
Argentina,Afro-Uruguayan,Male,1
Argentina,Argentines,Male,4
Argentina,Colla People,Female,2
Argentina,Colla People,Male,1
Argentina,Croats in Argentina,Female,1
Argentina,Croats in Argentina,Male,2
Argentina,Galicians,Female,2
Argentina,Galicians,Male,10
Argentina,Italian Argentines,Female,2
Argentina,Italian Argentines,Male,7
Argentina,Jewish people,Female,4
Argentina,Jewish people,Male,6
Argentina,Lebanese Argentines,Female,1
Argentina,Lebanese Argentines,Male,3
Argentina,Mapuche,Female,3
Argentina,Selk'nam people,Female,3
Argentina,Selk'nam people,Male,1
Argentina,Syrian Argentines,Female,2
Argentina,Syrian Argentines,Male,6
Armenia,Armenians,Female,63
Armenia,Armenians,Male,477
Armenia,Armenians,Unknown,24
Armenia,Assyrians,Female,1
Armenia,Azerbaijanis,Male,4
Armenia,Azerbaijanis,Unknown,1
Armenia,Greeks,Male,1
Armenia,Kurds,Female,1
Armenia,Kurds,Male,1
Armenia,Ukrainians,Male,1
Armenia,Yazidis,Male,2
Aruba,Q22988248,Male,1
Australia,Anmatyerre,Female,10
Australia,Arrernte,Female,2
Australia,Arrernte,Male,3
Australia,Australian Americans,Female,3
Australia,Australian Americans,Male,1
Australia,Australians,Female,1
Australia,Australians,Male,17
Australia,Gamilaraay,Female,2
Australia,Gamilaraay,Male,3
Australia,Indigenous Australians,Female,17
Australia,Indigenous Australians,Male,14
Australia,Irish Australians,Female,3
Australia,Irish Australians,Male,3
Australia,Kukatja,Female,4
Australia,Kukatja,Male,2
Australia,Noongar people,Female,3
Australia,Noongar people,Male,6
Australia,Pintupi,Female,6
Australia,Wiradjuri,Female,5
Australia,Wiradjuri,Male,2
Australia,Yolŋu people,Female,1
Australia,Yolŋu people,Male,4
Austria,Austrian Americans,Male,1
Austria,Austrians,Male,2
Austria,Burgenland Croats,Female,1
Austria,Burgenland Croats,Male,5
Austria,Cambodians,Female,1
Austria,Carinthian Slovenes,Female,2
Austria,Carinthian Slovenes,Male,5
Austria,Caucasian race,Male,1
Austria,Czechs,Female,1
Austria,Czechs,Male,12
Austria,Germans,Male,2
Austria,Hungarians,Female,1
Austria,Hungarians,Male,1
Austria,Jewish people,Female,5
Austria,Jewish people,Male,13
Austria,Jewish people,Unknown,1
Austria,Lovari,Female,1
Austria,Lovari,Male,4
Austria,Serbs in Austria,Unknown,2
Azerbaijan,Armenians,Female,24
Azerbaijan,Armenians,Male,214
Azerbaijan,Armenians,Unknown,9
Azerbaijan,Azerbaijan,Female,1
Azerbaijan,Azerbaijanis,Female,20
Azerbaijan,Azerbaijanis,Male,82
Azerbaijan,Azerbaijanis,Unknown,51
Azerbaijan,Azerbaijanis in Ukraine,Male,1
Azerbaijan,Greeks,Female,1
Azerbaijan,Iranian Azerbaijanis,Male,1
Azerbaijan,Jewish people,Male,5
Azerbaijan,Lezgins,Male,1
Azerbaijan,Lezgins,Unknown,1
Azerbaijan,Mountain Jews,Male,1
Azerbaijan,Russians,Male,1
Azerbaijan,Talysh people,Male,2
Azerbaijan,Talysh people,Unknown,2
Azerbaijan,Ukrainians,Female,1
