Country,Gender,Count
Afghanistan,Male,1199
Afghanistan,Female,335
Afghanistan,Unknown,266
Albania,Male,2675
Albania,Female,573
Albania,Unknown,61
Algeria,Male,5658
Algeria,Female,1011
Algeria,Unknown,112
Algeria,Non-binary or other,1
American Samoa,Male,7
American Samoa,Female,4
Andorra,Male,222
Andorra,Female,72
Andorra,Unknown,5
Angola,Male,980
Angola,Female,307
Angola,Unknown,3
Angola,Non-binary or other,1
Anguilla,Male,9
Anguilla,Female,5
Antigua and Barbuda,Male,195
Antigua and Barbuda,Female,42
Antigua and Barbuda,Unknown,4
Argentina,Male,23369
Argentina,Female,5887
Argentina,Unknown,55
Argentina,Non-binary or other,23
Armenia,Male,6646
Armenia,Female,1327
Armenia,Unknown,140
Aruba,Male,152
Aruba,Female,67
Aruba,Unknown,10
Australia,Male,25614
Australia,Female,8528
Australia,Unknown,42
Australia,Non-binary or other,42
Austria,Male,29504
Austria,Female,10154
Austria,Unknown,135
Austria,Non-binary or other,9
Azerbaijan,Male,10350
Azerbaijan,Female,1761
Azerbaijan,Unknown,1735
Bahrain,Male,346
Bahrain,Female,96
Bahrain,Unknown,1
Bangladesh,Male,3180
Bangladesh,Female,606
Bangladesh,Unknown,55
Barbados,Male,509
Barbados,Female,93
Barbados,Unknown,3
Belarus,Male,13971
Belarus,Female,3397
Belarus,Unknown,231
Belgium,Male,19655
Belgium,Female,5172
Belgium,Unknown,133
Belgium,Non-binary or other,6
Belize,Male,213
Belize,Female,80
Benin,Male,571
Benin,Female,172
Benin,Unknown,3
Bermuda,Male,120
Bermuda,Female,29
Bermuda,Unknown,1
Bhutan,Male,117
Bhutan,Female,51
Bhutan,Unknown,1
Bolivia,Male,1563
Bolivia,Female,533
Bolivia,Unknown,64
Bolivia,Non-binary or other,4
Bosnia and Herzegovina,Male,4980
Bosnia and Herzegovina,Female,937
Bosnia and Herzegovina,Unknown,494
Bosnia and Herzegovina,Non-binary or other,3
Botswana,Male,355
Botswana,Female,239
Botswana,Unknown,5
Brazil,Male,51465
Brazil,Female,15942
Brazil,Unknown,444
Brazil,Non-binary or other,89
British Indian Ocean Territory,Male,2
British Indian Ocean Territory,Female,1
British Virgin Islands,Female,2
British Virgin Islands,Male,1
Brunei,Male,187
Brunei,Female,35
Bulgaria,Male,13831
Bulgaria,Female,3681
Bulgaria,Unknown,3
Bulgaria,Non-binary or other,1
Burkina Faso,Male,601
Burkina Faso,Female,129
Burkina Faso,Unknown,2
Burundi,Male,288
Burundi,Female,71
Burundi,Unknown,6
Burundi,Non-binary or other,2
Cambodia,Male,494
Cambodia,Female,159
Cambodia,Unknown,12
Cameroon,Male,2307
Cameroon,Female,693
Cameroon,Unknown,19
Canada,Male,40208
Canada,Female,14027
Canada,Unknown,226
Canada,Non-binary or other,87
Cape Verde,Male,335
Cape Verde,Female,86
Cape Verde,Unknown,6
Cape Verde,Non-binary or other,1
Cayman Islands,Male,39
Cayman Islands,Female,13
Central African Republic,Male,220
Central African Republic,Female,38
Central African Republic,Unknown,4
Chad,Male,272
Chad,Female,61
Chad,Unknown,18
Chile,Male,8037
Chile,Female,2420
Chile,Unknown,19
Chile,Non-binary or other,10
Colombia,Male,7787
Colombia,Female,2158
Colombia,Unknown,39
Colombia,Non-binary or other,10
Comoros,Male,94
Comoros,Female,55
Comoros,Unknown,1
Cook Islands,Male,123
Cook Islands,Female,37
Cook Islands,Unknown,1
Costa Rica,Male,1495
Costa Rica,Female,352
Costa Rica,Unknown,6
Costa Rica,Non-binary or other,1
Croatia,Male,8225
Croatia,Female,2090
Croatia,Unknown,269
Cuba,Male,4031
Cuba,Female,1316
Cuba,Unknown,21
Cuba,Non-binary or other,5
Curaçao,Male,237
Curaçao,Female,54
Curaçao,Unknown,5
Curaçao,Non-binary or other,1
Cyprus,Male,1765
Cyprus,Female,375
Cyprus,Unknown,23
Czech Republic,Male,86527
Czech Republic,Female,28971
Czech Republic,Unknown,1060
Czech Republic,Non-binary or other,3
Democratic Republic of the Congo,Male,1947
Democratic Republic of the Congo,Female,484
Democratic Republic of the Congo,Unknown,6
Democratic Republic of the Congo,Non-binary or other,2
Denmark,Male,11525
Denmark,Female,4363
Denmark,Unknown,28
Denmark,Non-binary or other,3
Djibouti,Male,82
Djibouti,Female,21
Djibouti,Unknown,2
Dominica,Male,148
Dominica,Female,29
Dominican Republic,Male,2351
Dominican Republic,Female,574
Dominican Republic,Unknown,20
Dominican Republic,Non-binary or other,5
Ecuador,Male,2490
Ecuador,Female,793
Ecuador,Unknown,8
Ecuador,Non-binary or other,1
Egypt,Male,5853
Egypt,Female,1713
Egypt,Unknown,37
Egypt,Non-binary or other,4
El Salvador,Male,897
El Salvador,Female,217
El Salvador,Unknown,9
Equatorial Guinea,Male,243
Equatorial Guinea,Female,63
Eritrea,Male,232
Eritrea,Female,50
Eritrea,Unknown,2
Estonia,Male,15014
Estonia,Female,6486
Estonia,Unknown,9
Estonia,Non-binary or other,2
Eswatini,Male,93
Eswatini,Female,41
Eswatini,Unknown,4
Ethiopia,Male,820
Ethiopia,Female,396
Ethiopia,Unknown,10
Falkland Islands,Male,21
Falkland Islands,Female,10
Faroe Islands,Male,531
Faroe Islands,Female,109
Faroe Islands,Unknown,5
Federated States of Micronesia,Male,47
Federated States of Micronesia,Female,14
Federated States of Micronesia,Unknown,1
Fiji,Male,770
Fiji,Female,99
Fiji,Unknown,2
Fiji,Non-binary or other,1
Finland,Male,14217
Finland,Female,4978
Finland,Unknown,17
Finland,Non-binary or other,11
France,Male,97426
France,Female,25273
France,Unknown,3440
France,Non-binary or other,26
Gabon,Male,369
Gabon,Female,95
Gabon,Unknown,1
Georgia,Male,7103
Georgia,Female,1356
Georgia,Unknown,720
Georgia,Non-binary or other,3
Germany,Male,172195
Germany,Female,51314
Germany,Unknown,1014
Germany,Non-binary or other,57
Ghana,Male,3390
Ghana,Female,670
Ghana,Unknown,14
Greece,Male,14249
Greece,Female,4004
Greece,Unknown,141
Greece,Non-binary or other,2
Greenland,Male,259
Greenland,Female,101
Greenland,Unknown,2
Grenada,Male,186
Grenada,Female,52
Grenada,Unknown,1
Guatemala,Male,928
Guatemala,Female,302
Guatemala,Unknown,9
Guatemala,Non-binary or other,1
Guernsey,Male,64
Guernsey,Female,16
Guinea,Male,776
Guinea,Female,183
Guinea,Unknown,56
Guinea-Bissau,Male,305
Guinea-Bissau,Female,41
Guinea-Bissau,Unknown,2
Guyana,Male,516
Guyana,Female,121
Guyana,Unknown,4
Guyana,Non-binary or other,1
Haiti,Male,1139
Haiti,Female,349
Haiti,Unknown,31
Haiti,Non-binary or other,1
Honduras,Male,1014
Honduras,Female,143
Honduras,Unknown,8
Hong Kong,Female,1
Hong Kong,Male,1
Hungary,Male,28013
Hungary,Female,8344
Hungary,Unknown,35
Hungary,Non-binary or other,1
Iceland,Male,1419
Iceland,Female,563
Iceland,Unknown,7
Iceland,Non-binary or other,2
India,Male,29733
India,Female,8587
India,Unknown,1222
India,Non-binary or other,22
Indonesia,Male,18638
Indonesia,Female,8923
Indonesia,Unknown,2406
Indonesia,Non-binary or other,2
Iran,Male,14546
Iran,Female,2663
Iran,Unknown,645
Iran,Non-binary or other,2
Iraq,Male,4393
Iraq,Female,548
Iraq,Unknown,101
Ireland,Male,9524
Ireland,Female,2181
Ireland,Unknown,70
Ireland,Non-binary or other,5
Isle of Man,Male,123
Isle of Man,Female,54
Isle of Man,Unknown,1
Israel,Male,14080
Israel,Female,5098
Israel,Unknown,48
Israel,Non-binary or other,6
Italy,Male,90321
Italy,Female,21089
Italy,Unknown,220
Italy,Non-binary or other,13
Ivory Coast,Male,1626
Ivory Coast,Female,387
Ivory Coast,Unknown,97
Jamaica,Male,2004
Jamaica,Female,647
Jamaica,Unknown,22
Jamaica,Non-binary or other,5
Japan,Male,88267
Japan,Female,37777
Japan,Unknown,4519
Japan,Non-binary or other,25
Jordan,Male,923
Jordan,Female,233
Jordan,Unknown,9
