Country,Language,Count
Afghanistan,Persian,119
Afghanistan,Pashto,116
Afghanistan,English,87
Afghanistan,German,76
Afghanistan,Dari,37
Afghanistan,Urdu,21
Afghanistan,Arabic,20
Afghanistan,French,18
Afghanistan,Russian,10
Afghanistan,Hindi,7
Albania,Albanian,813
Albania,English,76
Albania,Italian,76
Albania,Modern Greek,56
Albania,French,38
Albania,German,24
Albania,Turkish,10
Albania,Greek,8
Albania,Serbian,8
Albania,Russian,6
Algeria,French,2614
Algeria,Arabic,2310
Algeria,English,260
Algeria,Kabyle,100
Algeria,Algerian Arabic,54
Algeria,Berber,43
Algeria,Italian,29
Algeria,German,27
Algeria,Spanish,27
Algeria,Hebrew,17
American Samoa,English,5
American Samoa,Samoan,3
Andorra,Catalan,50
Andorra,Spanish,26
Andorra,French,13
Andorra,English,12
Andorra,Portuguese,2
Andorra,Basque,1
Andorra,German,1
Andorra,Russian,1
Angola,Portuguese,891
Angola,English,39
Angola,French,26
Angola,Spanish,15
Angola,German,13
Angola,Angolan Portuguese,6
Angola,Umbundu,5
Angola,Swedish,4
Angola,Italian,3
Angola,British English,2
Anguilla,English,6
Antigua and Barbuda,English,17
Antigua and Barbuda,Antiguan and Barbudan Creole,1
Argentina,Spanish,14369
Argentina,English,604
Argentina,Italian,359
Argentina,French,249
Argentina,Argentine Spanish,144
Argentina,German,139
Argentina,Portuguese,106
Argentina,Hebrew,100
Argentina,Catalan,51
Argentina,Rioplatense Spanish,38
Armenia,Armenian,2072
Armenia,Russian,494
Armenia,English,157
Armenia,Azerbaijani,100
Armenia,French,53
Armenia,German,48
Armenia,Turkish,25
Armenia,Spanish,12
Armenia,Arabic,10
Armenia,Italian,8
Aruba,Dutch,30
Aruba,English,17
Aruba,Papiamento,16
Aruba,Spanish,6
Aruba,Estonian,2
Aruba,French,2
Aruba,German,1
Aruba,Italian,1
Aruba,Papiamento of Aruba,1
Aruba,Russian,1
Australia,English,16041
Australia,Australian English,146
Australia,German,82
Australia,French,81
Australia,Italian,46
Australia,Modern Greek,38
Australia,Japanese,29
Australia,Spanish,23
Australia,Turkish,18
Australia,Korean,17
Austria,German,23050
Austria,English,1515
Austria,French,239
Austria,Slovene,197
Austria,Austrian German,180
Austria,Hebrew,144
Austria,Italian,139
Austria,Czech,135
Austria,Spanish,79
Austria,Polish,66
Azerbaijan,Azerbaijani,1150
Azerbaijan,Russian,914
Azerbaijan,Armenian,499
Azerbaijan,English,158
Azerbaijan,Turkish,126
Azerbaijan,Persian,56
Azerbaijan,German,48
Azerbaijan,French,34
Azerbaijan,Arabic,27
Azerbaijan,Spanish,24
Bahrain,Arabic,147
Bahrain,English,42
Bahrain,Bahraini Gulf Arabic,3
Bahrain,French,2
Bahrain,Gulf Arabic,2
Bahrain,Malayalam,2
