Country,Occupation Category,Count
Brazil,Arts & Entertainment,26813
Brazil,Sports,17840
Brazil,Politics & Government,13171
Brazil,Media & Journalism,7106
Brazil,Business & Finance,6059
Brazil,Education,4743
Brazil,Law & Justice,2461
Brazil,Medicine & Health,2014
Brazil,Religion,1855
Brazil,Science & Research,1682
Brazil,Public Service & Activism,838
Brazil,Military & Security,821
Canada,Arts & Entertainment,38566
Canada,Sports,22330
Canada,Media & Journalism,7293
Canada,Politics & Government,6903
Canada,Business & Finance,4025
Canada,Education,3873
Canada,Law & Justice,1681
Canada,Science & Research,1468
Canada,Religion,1298
Canada,Medicine & Health,994
Canada,Public Service & Activism,715
Canada,Military & Security,596
China,Arts & Entertainment,12693
China,Sports,7798
China,Politics & Government,4216
China,Media & Journalism,4029
China,Business & Finance,1453
China,Science & Research,1391
China,Education,1315
China,Military & Security,819
China,Religion,459
China,Medicine & Health,352
China,Public Service & Activism,336
China,Law & Justice,250
India,Arts & Entertainment,26670
India,Politics & Government,7272
India,Media & Journalism,6103
India,Sports,6076
India,Business & Finance,1443
India,Science & Research,1316
India,Public Service & Activism,1195
India,Education,1183
India,Religion,770
India,Medicine & Health,526
India,Military & Security,441
India,Law & Justice,438
United Kingdom,Arts & Entertainment,63262
United Kingdom,Sports,53332
United Kingdom,Media & Journalism,18323
United Kingdom,Politics & Government,6039
United Kingdom,Education,4719
United Kingdom,Business & Finance,4690
United Kingdom,Science & Research,3148
United Kingdom,Transport & Logistics,2054
United Kingdom,Military & Security,1949
United Kingdom,Medicine & Health,1775
United Kingdom,Public Service & Activism,1215
United Kingdom,Law & Justice,1063
United States,Arts & Entertainment,259913
United States,Sports,109149
United States,Media & Journalism,54358
United States,Politics & Government,29901
United States,Education,21818
United States,Business & Finance,20238
United States,Law & Justice,15971
United States,Science & Research,12520
United States,Military & Security,9948
United States,Medicine & Health,6660
United States,Public Service & Activism,5344
United States,Religion,4377
